is_bad,loan_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,dti,delinq_2yrs,credit_length,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc
0,4000, 60 months,0.073,79.76,A,A4,MORTGAGE,50000,10.87,0,10368,0,,,15,0,12087,12.1,44
0,16000, 60 months,0.183,408.48,F,F1,RENT,39216,9.15,0,5650,2,,,4,0,10114,64,5
0,8700, 36 months,0.079,272.15,A,A5,RENT,65000,11.24,0,18587,0,,,4,0,81,0.6,8
0,18000, 60 months,0.115,395.78,B,B4,MORTGAGE,57500,6.18,1,14112,0,16,,6,0,10030,37.1,23
0,16000, 36 months,0.118,530.15,B,B3,MORTGAGE,50004,19.03,0,7873,4,,,8,0,10740,40.4,21
0,3000, 60 months,0.156,72.29,D,D3,RENT,47028,7.83,2,7812,1,19,,6,0,1715,26.4,25
0,14000, 60 months,0.075,174.88,A,A4,MORTGAGE,126000,14.28,0,15147,0,,,18,0,5466,11.1,29
0,3975, 60 months,0.176,100.04,D,D4,MORTGAGE,42000,10.29,0,5499,0,,,9,0,10354,95.9,10
0,25000, 36 months,0.156,873.76,D,D3,MORTGAGE,50000,15.36,0,7384,2,,,11,0,19662,59.2,27
0,10000, 36 months,0.08,313.37,A,A3,RENT,40000,6.48,0,9487,1,,,11,0,19998,18.3,23
0,10000, 36 months,0.066,307.04,A,A2,RENT,74000,17.11,0,11099,0,,,10,0,15046,39.9,18
0,23000, 36 months,0.122,765.9,B,B4,RENT,112000,14.96,0,10186,0,,,12,0,25274,39.5,24
0,20000, 36 months,0.089,635.07,A,A5,RENT,148080,15.88,0,9151,2,,,12,0,36546,73.4,27
0,6500, 36 months,0.11,121.89,B,B5,RENT,44724,17.41,0,8968,3,,,3,0,886,25.3,5
0,5000, 36 months,0.073,155.05,A,A4,RENT,1.00E+05,18.66,0,7873,0,,,13,0,23484,70.1,37
0,25000, 60 months,0.117,552.46,B,B3,MORTGAGE,75000,13.42,0,10337,0,,,5,0,18591,37.9,19
1,7350, 36 months,0.077,229.18,A,A5,OWN,22000,14.95,0,10094,0,,,4,0,8511,78.8,9
0,4000, 60 months,0.134,91.74,C,C4,RENT,30000,19.32,0,6685,0,,,9,0,5276,62.1,19
0,20000, 36 months,0.124,668.31,B,B4,RENT,63000,19.09,0,7842,1,,,12,0,16167,70.3,27
0,30000, 36 months,0.115,989.14,B,B4,MORTGAGE,120000,5.22,1,8907,3,13,,5,0,49805,0,36
1,12000, 36 months,0.16,421.89,D,D5,MORTGAGE,72000,17.48,0,8572,6,,,13,0,1249,6.1,23
0,20000, 36 months,0.12,664.2,B,B5,RENT,350000,12.22,0,9729,0,34,,8,0,27733,80.4,24
0,25000, 60 months,0.165,415.03,E,E1,RENT,56000,15.43,0,9456,0,,,6,0,4971,43.5,19
0,10000, 36 months,0.125,334.67,B,B5,MORTGAGE,191000,12.2,0,12470,0,49,,16,0,444,2.5,54
0,6900, 36 months,0.099,222.26,B,B1,RENT,47480,16.81,0,8146,3,32,,10,0,150,3.1,24
0,26000, 60 months,0.183,663.78,F,F1,MORTGAGE,33600,3.93,0,7750,1,67,,5,0,8482,73.8,20
0,6000, 36 months,0.106,195.27,B,B2,MORTGAGE,42000,15.89,0,7660,1,,,10,0,20691,51.6,20
0,5400, 36 months,0.074,167.78,A,A3,MORTGAGE,40000,10.71,0,5773,0,,,11,0,2459,44.7,26
0,7500, 36 months,0.155,261.65,E,E5,MORTGAGE,55000,24.94,0,9882,8,,,16,0,41705,95.2,24
0,8000, 36 months,0.146,275.81,D,D1,RENT,120000,0,0,9426,0,48,,2,0,0,0,7
0,12025, 36 months,0.135,408.02,C,C2,MORTGAGE,1.00E+05,19.99,0,7142,1,58,,6,0,24678,79,22
0,7200, 60 months,0.138,166.79,C,C4,MORTGAGE,48000,22.59,0,8725,2,52,,10,0,2894,36.2,13
0,11600, 60 months,0.135,266.86,C,C2,RENT,41000,20.69,0,7507,0,39,,6,0,10949,61.9,12
0,2800, 36 months,0.074,86.97,A,A2,RENT,8000,15.15,0,6473,0,,,6,0,2146,20.2,16
0,25000, 60 months,0.149,593.57,D,D2,MORTGAGE,80000,8.14,0,9211,0,,,10,0,14563,68.1,23
0,20000, 36 months,0.11,654.68,B,B3,RENT,95000,13.65,0,6046,0,,,8,0,27686,54.3,26
0,12500, 36 months,0.103,404.81,B,B2,RENT,60000,9.46,0,8299,0,60,,14,0,9936,16.7,29
0,6000, 36 months,0.106,195.27,B,B2,RENT,42000,12.74,0,7234,3,62,,11,0,528,9.1,22
0,7000, 36 months,0.111,229.54,B,B5,OWN,36400,10.98,0,6320,1,,,8,0,6772,72.8,18
0,12000, 36 months,0.131,404.68,C,C2,RENT,65400,17.71,0,9576,3,,,8,0,13041,81.5,36
0,13300, 60 months,0.111,180.42,B,B3,RENT,58000,13.55,0,7172,3,64,,7,0,7616,58.1,16
0,14000, 60 months,0.14,325.69,C,C3,RENT,315600,0.98,0,5193,2,,,6,0,1555,24.7,10
0,3000, 36 months,0.058,90.99,A,A2,MORTGAGE,45000,7.79,0,8664,1,,,9,0,780,4.1,19
0,6000, 36 months,0.075,186.66,A,A4,RENT,55000,22.28,0,7721,2,,,13,0,14217,20.2,25
0,9000, 36 months,0.071,278.48,A,A3,MORTGAGE,141000,8.31,0,10459,3,,,10,0,55142,45.8,24
0,16675, 60 months,0.117,368.49,B,B3,MORTGAGE,72000,8.68,0,9334,0,,,10,0,18885,66.3,43
0,15000, 36 months,0.139,512.06,C,C4,MORTGAGE,35000,14.5,0,7781,3,,,12,0,17717,67.4,26
0,5500, 36 months,0.127,184.62,C,C1,MORTGAGE,42240,13.35,1,12529,1,4,,5,0,15974,48.9,16
0,12000, 36 months,0.058,363.93,A,A2,MORTGAGE,66000,12.58,0,8968,1,,,11,0,5723,8.4,38
0,12000, 36 months,0.117,396.92,B,B3,RENT,86496,14.19,0,7415,0,,,6,0,12915,85,12
0,7800, 60 months,0.1,165.73,B,B2,RENT,52656,7.7,0,13381,0,34,,16,0,0,0,24
1,16000, 60 months,0.224,445.1,F,F5,MORTGAGE,120000,21.16,4,12713,1,4,,25,0,43109,72.3,49
0,1925, 36 months,0.122,64.11,B,B4,RENT,30000,8.36,0,5589,2,,,14,0,277,46.2,15
0,10000, 36 months,0.054,301.6,A,A1,MORTGAGE,120000,6.98,0,14904,0,,,15,0,78330,28.6,31
1,6000, 36 months,0.079,187.75,A,A4,RENT,23040,12.66,0,8177,0,63,,6,0,8282,62.3,11
1,5375, 60 months,0.127,121.45,B,B5,RENT,15000,18.08,0,6076,0,,,2,0,9279,36.5,3
0,22800, 36 months,0.122,759.58,B,B5,OWN,43000,15.49,1,7690,1,19,,9,0,19226,70.9,32
0,5000, 36 months,0.097,160.57,B,B1,MORTGAGE,99600,15.22,0,16395,0,,,11,0,60631,70.3,28
0,8000, 36 months,0.124,267.33,B,B4,RENT,40000,15,0,6199,0,,,10,0,18601,88.2,11
0,2500, 36 months,0.188,91.37,F,F3,RENT,65000,2.79,1,7934,2,19,27,4,1,2601,40.6,7
0,17800, 36 months,0.103,576.45,B,B2,MORTGAGE,61781,17.15,0,14661,4,,,10,0,23065,51.1,31
0,14400, 36 months,0.111,472.4,B,B2,RENT,72000,14.75,0,7356,0,,,19,0,18421,67,28
